=== RADAR COMMUNICATIONS LOG ===
City: New York
Application started: 2025-12-10 16:33:41
==================================================
[16:33:48] Radar communication initialized for New York
[16:36:32] ⚠️ Warning: Chris #7 and John #9 are 75.3 units apart
[16:36:32] ⚠️ Warning: Chris #7 and Jane #9 are 86.1 units apart
[16:36:32] ⚠️ CRITICAL: Chris #7 and Michael #9 are 44.7 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: Amanda #7 and Lisa #7 are 33.5 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: Amanda #7 and John #8 are 15.6 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: Amanda #7 and Emily #8 are 44.7 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Amanda #7 and David #9 are 87.5 units apart
[16:36:32] ⚠️ CRITICAL: Amanda #7 and Chris #9 are 41.9 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: Amanda #7 and Amanda #10 are 22.6 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Robert #7 and Amanda #8 are 81.5 units apart
[16:36:32] ⚠️ CRITICAL: Lisa #7 and John #8 are 27.2 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Lisa #7 and Emily #8 are 63.8 units apart
[16:36:32] ⚠️ Warning: Lisa #7 and David #9 are 75.1 units apart
[16:36:32] ⚠️ CRITICAL: Lisa #7 and Chris #9 are 10.1 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Lisa #7 and Amanda #10 are 50.1 units apart
[16:36:32] ⚠️ Warning: John #8 and Emily #8 are 59.7 units apart
[16:36:32] ⚠️ Warning: John #8 and David #9 are 94.2 units apart
[16:36:32] ⚠️ CRITICAL: John #8 and Chris #9 are 37.2 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: John #8 and Amanda #10 are 38.2 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Jane #8 and Jane #9 are 92.9 units apart
[16:36:32] ⚠️ Warning: Jane #8 and Michael #9 are 80.3 units apart
[16:36:32] ⚠️ Warning: Sarah #8 and Amanda #9 are 77.1 units apart
[16:36:32] ⚠️ Warning: Emily #8 and David #9 are 68.7 units apart
[16:36:32] ⚠️ Warning: Emily #8 and Chris #9 are 66.3 units apart
[16:36:32] ⚠️ CRITICAL: Emily #8 and Amanda #10 are 24.0 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Chris #8 and Robert #9 are 89.5 units apart
[16:36:32] ⚠️ CRITICAL: Robert #8 and Lisa #8 are 46.7 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: Robert #8 and Michael #10 are 71.6 units apart
[16:36:32] ⚠️ CRITICAL: John #9 and Jane #9 are 30.1 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: John #9 and Michael #9 are 31.1 units apart - COLLISION RISK!
[16:36:32] ⚠️ CRITICAL: Jane #9 and Michael #9 are 49.5 units apart - COLLISION RISK!
[16:36:32] ⚠️ Warning: David #9 and Chris #9 are 67.9 units apart
[16:36:32] ⚠️ Warning: David #9 and Amanda #10 are 81.6 units apart
[16:36:32] ⚠️ Warning: Emily #9 and Michael #10 are 59.6 units apart
[16:36:32] ⚠️ Warning: Chris #9 and Amanda #10 are 55.8 units apart
[16:36:32] ⚠️ Warning: Amanda #9 and Robert #9 are 79.9 units apart
[16:36:32] ⚠️ Warning: Amanda #9 and Lisa #9 are 56.3 units apart
[16:36:32] ⚠️ Warning: John #10 and Robert #10 are 61.4 units apart
[16:36:32] ⚠️ Warning: Jane #10 and Sarah #10 are 94.6 units apart
[16:36:32] ⚠️ Warning: Chris #10 and Lisa #10 are 70.4 units apart
[16:36:32] Emily #9 moving 🚀 South (198 units)
[16:36:32] Jane #7 moving 🚀 Southeast (715 units)
[16:36:33] Michael #1 moving 🚀 West (820 units)
[16:36:33] Sarah #6 moving 🚀 South (665 units)
[16:36:33] Emily #7 moving 🚀 West (489 units)
[16:36:33] Emily #10 moving 🚀 Northeast (920 units)
[16:36:33] David #4 moving 🚀 Southeast (219 units)
[16:36:33] ⚠️ CRITICAL: John #1 and Emily #5 are 7.4 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: John #1 and Michael #6 are 94.2 units apart
[16:36:33] ⚠️ Warning: John #1 and Sarah #8 are 64.1 units apart
[16:36:33] ⚠️ Warning: John #1 and John #10 are 61.5 units apart
[16:36:33] ⚠️ Warning: John #1 and Robert #10 are 61.2 units apart
[16:36:33] ⚠️ Warning: Jane #1 and Emily #1 are 72.4 units apart
[16:36:33] ⚠️ Warning: Jane #1 and John #3 are 96.7 units apart
[16:36:33] ⚠️ CRITICAL: Jane #1 and Michael #3 are 20.4 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Jane #1 and Chris #3 are 77.6 units apart
[16:36:33] ⚠️ Warning: Jane #1 and Robert #3 are 90.9 units apart
[16:36:33] ⚠️ Warning: Michael #1 and Chris #8 are 72.8 units apart
[16:36:33] ⚠️ Warning: Michael #1 and Robert #8 are 92.9 units apart
[16:36:33] ⚠️ CRITICAL: Michael #1 and Lisa #8 are 22.7 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Sarah #1 and Chris #1 are 55.0 units apart
[16:36:33] ⚠️ Warning: Sarah #1 and John #5 are 85.5 units apart
[16:36:33] ⚠️ Warning: Sarah #1 and Amanda #6 are 95.2 units apart
[16:36:33] ⚠️ CRITICAL: Sarah #1 and Robert #7 are 48.1 units apart - COLLISION RISK!
[16:36:33] ⚠️ CRITICAL: Sarah #1 and Amanda #8 are 34.6 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: David #1 and Amanda #1 are 54.8 units apart
[16:36:33] ⚠️ Warning: David #1 and Sarah #4 are 59.8 units apart
[16:36:33] ⚠️ Warning: David #1 and Jane #6 are 86.2 units apart
[16:36:33] ⚠️ Warning: David #1 and Chris #7 are 72.4 units apart
[16:36:33] ⚠️ Warning: David #1 and Jane #8 are 97.1 units apart
[16:36:33] ⚠️ Warning: David #1 and John #9 are 77.7 units apart
[16:36:33] ⚠️ CRITICAL: Emily #1 and John #3 are 38.7 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Emily #1 and Michael #3 are 56.8 units apart
[16:36:33] ⚠️ Warning: Emily #1 and Robert #3 are 77.6 units apart
[16:36:33] ⚠️ CRITICAL: Chris #1 and Amanda #6 are 40.3 units apart - COLLISION RISK!
[16:36:33] ⚠️ CRITICAL: Chris #1 and Amanda #8 are 41.7 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Amanda #1 and Amanda #3 are 68.9 units apart
[16:36:33] ⚠️ Warning: Amanda #1 and Sarah #4 are 96.1 units apart
[16:36:33] ⚠️ Warning: Amanda #1 and Jane #6 are 62.8 units apart
[16:36:33] ⚠️ Warning: Amanda #1 and Sarah #6 are 83.9 units apart
[16:36:33] ⚠️ Warning: Amanda #1 and David #6 are 96.7 units apart
[16:36:33] ⚠️ Warning: Amanda #1 and Michael #9 are 80.3 units apart
[16:36:33] ⚠️ Warning: Robert #1 and Amanda #2 are 53.6 units apart
[16:36:33] ⚠️ CRITICAL: Robert #1 and Sarah #3 are 15.7 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Robert #1 and David #3 are 91.1 units apart
[16:36:33] ⚠️ CRITICAL: Robert #1 and Lisa #3 are 49.6 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Robert #1 and John #4 are 54.4 units apart
[16:36:33] ⚠️ CRITICAL: Robert #1 and Amanda #7 are 27.0 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Robert #1 and John #8 are 60.3 units apart
[16:36:33] ⚠️ Warning: Robert #1 and Emily #8 are 83.1 units apart
[16:36:33] ⚠️ CRITICAL: Robert #1 and Amanda #9 are 46.5 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Robert #1 and Lisa #9 are 89.1 units apart
[16:36:33] ⚠️ CRITICAL: Robert #1 and Amanda #10 are 23.8 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Lisa #1 and Sarah #7 are 91.8 units apart
[16:36:33] ⚠️ Warning: Lisa #1 and Emily #9 are 91.6 units apart
[16:36:33] ⚠️ Warning: Lisa #1 and Michael #10 are 81.8 units apart
[16:36:33] ⚠️ Warning: John #2 and Emily #6 are 71.7 units apart
[16:36:33] ⚠️ Warning: John #2 and Jane #10 are 92.1 units apart
[16:36:33] ⚠️ CRITICAL: John #2 and Sarah #10 are 49.0 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Jane #2 and Lisa #4 are 96.5 units apart
[16:36:33] ⚠️ CRITICAL: Jane #2 and Jane #7 are 31.1 units apart - COLLISION RISK!
[16:36:33] ⚠️ Warning: Jane #2 and Jane #9 are 58.3 units apart
[16:36:33] ⚠️ Warning: Michael #2 and David #3 are 90.4 units apart
[16:36:33] ⚠️ Warning: Michael #2 and John #6 are 75.7 units apart
[16:36:33] ⚠️ Warning: Michael #2 and Lisa #6 are 87.1 units apart
[16:36:33] ⚠️ Warning: Michael #2 and Lisa #7 are 52.9 units apart
[16:36:34] ⚠️ Warning: Michael #2 and Emily #8 are 77.3 units apart
[16:36:34] ⚠️ Warning: Michael #2 and David #9 are 77.6 units apart
[16:36:34] ⚠️ CRITICAL: Michael #2 and Chris #9 are 8.3 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Michael #2 and Jane #10 are 97.2 units apart
[16:36:34] ⚠️ Warning: Sarah #2 and Lisa #2 are 92.2 units apart
[16:36:34] ⚠️ Warning: Sarah #2 and John #4 are 84.5 units apart
[16:36:34] ⚠️ Warning: Sarah #2 and Michael #5 are 52.9 units apart
[16:36:34] ⚠️ Warning: Sarah #2 and Emily #8 are 99.0 units apart
[16:36:34] ⚠️ Warning: Sarah #2 and David #9 are 70.8 units apart
[16:36:34] ⚠️ Warning: David #2 and Chris #2 are 62.2 units apart
[16:36:34] ⚠️ Warning: David #2 and Emily #3 are 92.8 units apart
[16:36:34] ⚠️ Warning: David #2 and Jane #5 are 64.6 units apart
[16:36:34] ⚠️ Warning: David #2 and Sarah #7 are 93.2 units apart
[16:36:34] ⚠️ CRITICAL: Emily #2 and Lisa #2 are 49.9 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Emily #2 and Robert #5 are 45.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Emily #2 and Michael #7 are 88.1 units apart
[16:36:34] ⚠️ CRITICAL: Chris #2 and Sarah #7 are 46.2 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #2 and Lisa #2 are 63.5 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Sarah #3 are 55.6 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and John #4 are 82.3 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Robert #5 are 65.4 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Amanda #7 are 78.8 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Amanda #9 are 65.8 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Lisa #9 are 83.1 units apart
[16:36:34] ⚠️ Warning: Amanda #2 and Amanda #10 are 70.1 units apart
[16:36:34] ⚠️ CRITICAL: Robert #2 and Emily #4 are 38.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Robert #2 and Lisa #4 are 88.9 units apart
[16:36:34] ⚠️ Warning: Robert #2 and Chris #5 are 79.5 units apart
[16:36:34] ⚠️ Warning: Lisa #2 and John #4 are 93.6 units apart
[16:36:34] ⚠️ CRITICAL: Lisa #2 and Robert #5 are 45.0 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #3 and Michael #3 are 77.0 units apart
[16:36:34] ⚠️ Warning: John #3 and Robert #3 are 56.0 units apart
[16:36:34] ⚠️ Warning: John #3 and Sarah #10 are 84.4 units apart
[16:36:34] ⚠️ Warning: Jane #3 and Michael #7 are 84.5 units apart
[16:36:34] ⚠️ Warning: Jane #3 and Emily #7 are 58.8 units apart
[16:36:34] ⚠️ Warning: Michael #3 and Chris #3 are 97.6 units apart
[16:36:34] ⚠️ Warning: Michael #3 and Robert #3 are 72.3 units apart
[16:36:34] ⚠️ Warning: Sarah #3 and David #3 are 97.1 units apart
[16:36:34] ⚠️ Warning: Sarah #3 and Lisa #3 are 55.9 units apart
[16:36:34] ⚠️ Warning: Sarah #3 and John #4 are 69.9 units apart
[16:36:34] ⚠️ CRITICAL: Sarah #3 and Amanda #7 are 36.7 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Sarah #3 and John #8 are 63.7 units apart
[16:36:34] ⚠️ Warning: Sarah #3 and Emily #8 are 96.4 units apart
[16:36:34] ⚠️ CRITICAL: Sarah #3 and Amanda #9 are 31.1 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Sarah #3 and Lisa #9 are 74.9 units apart
[16:36:34] ⚠️ CRITICAL: Sarah #3 and Amanda #10 are 37.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: David #3 and Lisa #3 are 41.6 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: David #3 and John #4 are 82.8 units apart
[16:36:34] ⚠️ CRITICAL: David #3 and John #6 are 31.2 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: David #3 and Lisa #6 are 77.5 units apart
[16:36:34] ⚠️ Warning: David #3 and Amanda #7 are 64.5 units apart
[16:36:34] ⚠️ CRITICAL: David #3 and Lisa #7 are 43.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: David #3 and John #8 are 34.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: David #3 and Emily #8 are 56.5 units apart
[16:36:34] ⚠️ Warning: David #3 and David #9 are 88.7 units apart
[16:36:34] ⚠️ Warning: David #3 and Chris #9 are 85.4 units apart
[16:36:34] ⚠️ Warning: David #3 and Amanda #10 are 73.7 units apart
[16:36:34] ⚠️ Warning: Emily #3 and Jane #5 are 76.2 units apart
[16:36:34] ⚠️ Warning: Emily #3 and Robert #10 are 88.0 units apart
[16:36:34] ⚠️ Warning: Amanda #3 and Michael #6 are 52.9 units apart
[16:36:34] ⚠️ CRITICAL: Amanda #3 and Sarah #6 are 48.3 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Amanda #3 and David #6 are 28.0 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #3 and David #7 are 81.9 units apart
[16:36:34] ⚠️ Warning: Robert #3 and Sarah #10 are 66.8 units apart
[16:36:34] ⚠️ Warning: Lisa #3 and John #4 are 56.5 units apart
[16:36:34] ⚠️ Warning: Lisa #3 and John #6 are 72.8 units apart
[16:36:34] ⚠️ CRITICAL: Lisa #3 and Amanda #7 are 23.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Lisa #3 and Lisa #7 are 81.5 units apart
[16:36:34] ⚠️ CRITICAL: Lisa #3 and John #8 are 14.7 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Lisa #3 and Emily #8 are 54.8 units apart
[16:36:34] ⚠️ Warning: Lisa #3 and David #9 are 86.0 units apart
[16:36:34] ⚠️ Warning: Lisa #3 and Amanda #9 are 80.3 units apart
[16:36:34] ⚠️ CRITICAL: Lisa #3 and Amanda #10 are 34.7 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: John #4 and Amanda #7 are 44.9 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #4 and John #8 are 70.9 units apart
[16:36:34] ⚠️ CRITICAL: John #4 and Emily #8 are 41.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #4 and David #9 are 50.9 units apart
[16:36:34] ⚠️ CRITICAL: John #4 and Amanda #10 are 34.6 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Michael #4 and Amanda #4 are 39.2 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Michael #4 and Robert #8 are 37.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Michael #4 and David #10 are 65.1 units apart
[16:36:34] ⚠️ Warning: Sarah #4 and Jane #6 are 83.7 units apart
[16:36:34] ⚠️ Warning: Sarah #4 and John #7 are 84.6 units apart
[16:36:34] ⚠️ CRITICAL: Sarah #4 and Chris #7 are 20.6 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Sarah #4 and Jane #8 are 38.1 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Sarah #4 and John #9 are 18.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Sarah #4 and Jane #9 are 97.1 units apart
[16:36:34] ⚠️ Warning: Sarah #4 and Michael #9 are 88.3 units apart
[16:36:34] ⚠️ Warning: David #4 and Chris #6 are 64.8 units apart
[16:36:34] ⚠️ CRITICAL: David #4 and Robert #6 are 26.3 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Emily #4 and Lisa #4 are 93.8 units apart
[16:36:34] ⚠️ CRITICAL: Emily #4 and Chris #5 are 46.2 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Chris #4 and Robert #4 are 87.4 units apart
[16:36:34] ⚠️ CRITICAL: Chris #4 and John #5 are 41.7 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Amanda #4 and Robert #8 are 17.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Amanda #4 and David #10 are 34.4 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Robert #4 and John #5 are 90.2 units apart
[16:36:34] ⚠️ Warning: Lisa #4 and Jane #7 are 68.8 units apart
[16:36:34] ⚠️ Warning: John #5 and Robert #7 are 68.9 units apart
[16:36:34] ⚠️ Warning: Jane #5 and Amanda #5 are 80.1 units apart
[16:36:34] ⚠️ Warning: Jane #5 and Sarah #8 are 87.3 units apart
[16:36:34] ⚠️ Warning: Michael #5 and David #9 are 94.0 units apart
[16:36:34] ⚠️ Warning: Sarah #5 and Lisa #5 are 60.4 units apart
[16:36:34] ⚠️ Warning: Sarah #5 and Chris #10 are 72.6 units apart
[16:36:34] ⚠️ Warning: Sarah #5 and Lisa #10 are 65.0 units apart
[16:36:34] ⚠️ Warning: Emily #5 and Amanda #5 are 97.7 units apart
[16:36:34] ⚠️ Warning: Emily #5 and Michael #6 are 99.0 units apart
[16:36:34] ⚠️ Warning: Emily #5 and Sarah #8 are 59.6 units apart
[16:36:34] ⚠️ Warning: Emily #5 and John #10 are 61.4 units apart
[16:36:34] ⚠️ Warning: Emily #5 and Robert #10 are 58.5 units apart
[16:36:34] ⚠️ CRITICAL: Amanda #5 and Sarah #8 are 39.4 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #5 and Amanda #9 are 95.9 units apart
[16:36:34] ⚠️ Warning: Lisa #5 and Emily #10 are 68.3 units apart
[16:36:34] ⚠️ CRITICAL: John #6 and Lisa #6 are 47.0 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #6 and Amanda #7 are 95.4 units apart
[16:36:34] ⚠️ CRITICAL: John #6 and Lisa #7 are 22.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #6 and John #8 are 65.3 units apart
[16:36:34] ⚠️ Warning: John #6 and Emily #8 are 73.6 units apart
[16:36:34] ⚠️ Warning: John #6 and Chris #9 are 68.7 units apart
[16:36:34] ⚠️ Warning: Jane #6 and Sarah #6 are 81.7 units apart
[16:36:34] ⚠️ Warning: Jane #6 and John #9 are 85.6 units apart
[16:36:34] ⚠️ CRITICAL: Jane #6 and Michael #9 are 17.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Michael #6 and Sarah #6 are 91.7 units apart
[16:36:34] ⚠️ CRITICAL: Michael #6 and David #6 are 39.5 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Michael #6 and David #7 are 76.7 units apart
[16:36:34] ⚠️ Warning: Michael #6 and John #10 are 63.5 units apart
[16:36:34] ⚠️ Warning: Michael #6 and Robert #10 are 84.9 units apart
[16:36:34] ⚠️ Warning: Sarah #6 and David #6 are 52.8 units apart
[16:36:34] ⚠️ Warning: Sarah #6 and David #7 are 75.2 units apart
[16:36:34] ⚠️ Warning: Sarah #6 and Michael #9 are 89.4 units apart
[16:36:34] ⚠️ Warning: David #6 and David #7 are 56.0 units apart
[16:36:34] ⚠️ Warning: Emily #6 and Jane #10 are 59.3 units apart
[16:36:34] ⚠️ CRITICAL: Chris #6 and Robert #6 are 48.8 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #6 and Michael #8 are 78.6 units apart
[16:36:34] ⚠️ Warning: Amanda #6 and Amanda #8 are 78.7 units apart
[16:36:34] ⚠️ Warning: Lisa #6 and Lisa #7 are 51.9 units apart
[16:36:34] ⚠️ Warning: Lisa #6 and Chris #9 are 78.8 units apart
[16:36:34] ⚠️ Warning: John #7 and Chris #7 are 70.3 units apart
[16:36:34] ⚠️ CRITICAL: John #7 and Jane #8 are 46.7 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #7 and John #9 are 70.8 units apart
[16:36:34] ⚠️ Warning: John #7 and Jane #9 are 54.3 units apart
[16:36:34] ⚠️ Warning: Jane #7 and Jane #9 are 72.8 units apart
[16:36:34] ⚠️ CRITICAL: Michael #7 and Emily #7 are 28.9 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: David #7 and David #8 are 85.9 units apart
[16:36:34] ⚠️ CRITICAL: Chris #7 and Jane #8 are 27.6 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Chris #7 and John #9 are 25.0 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Chris #7 and Jane #9 are 93.8 units apart
[16:36:34] ⚠️ CRITICAL: Amanda #7 and John #8 are 36.4 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #7 and Emily #8 are 60.9 units apart
[16:36:34] ⚠️ Warning: Amanda #7 and David #9 are 86.7 units apart
[16:36:34] ⚠️ Warning: Amanda #7 and Amanda #9 are 65.5 units apart
[16:36:34] ⚠️ CRITICAL: Amanda #7 and Amanda #10 are 13.2 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Robert #7 and Amanda #8 are 75.3 units apart
[16:36:34] ⚠️ Warning: Lisa #7 and John #8 are 77.8 units apart
[16:36:34] ⚠️ Warning: Lisa #7 and Emily #8 are 65.4 units apart
[16:36:34] ⚠️ Warning: Lisa #7 and David #9 are 87.2 units apart
[16:36:34] ⚠️ CRITICAL: Lisa #7 and Chris #9 are 46.0 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: John #8 and Emily #8 are 64.0 units apart
[16:36:34] ⚠️ Warning: John #8 and David #9 are 96.6 units apart
[16:36:34] ⚠️ Warning: John #8 and Amanda #9 are 83.9 units apart
[16:36:34] ⚠️ CRITICAL: John #8 and Amanda #10 are 48.6 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Jane #8 and John #9 are 24.9 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Jane #8 and Jane #9 are 66.9 units apart
[16:36:34] ⚠️ CRITICAL: Emily #8 and David #9 are 33.3 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Emily #8 and Chris #9 are 77.5 units apart
[16:36:34] ⚠️ Warning: Emily #8 and Amanda #10 are 59.3 units apart
[16:36:34] ⚠️ Warning: Chris #8 and Lisa #8 are 92.9 units apart
[16:36:34] ⚠️ Warning: Robert #8 and Lisa #8 are 84.9 units apart
[16:36:34] ⚠️ Warning: Robert #8 and David #10 are 51.7 units apart
[16:36:34] ⚠️ Warning: John #9 and Jane #9 are 78.4 units apart
[16:36:34] ⚠️ Warning: John #9 and Michael #9 are 86.3 units apart
[16:36:34] ⚠️ Warning: David #9 and Chris #9 are 81.2 units apart
[16:36:34] ⚠️ Warning: David #9 and Amanda #10 are 80.9 units apart
[16:36:34] ⚠️ Warning: Emily #9 and Robert #9 are 84.6 units apart
[16:36:34] ⚠️ Warning: Emily #9 and Michael #10 are 59.6 units apart
[16:36:34] ⚠️ CRITICAL: Amanda #9 and Lisa #9 are 46.1 units apart - COLLISION RISK!
[16:36:34] ⚠️ Warning: Amanda #9 and Amanda #10 are 68.6 units apart
[16:36:34] ⚠️ CRITICAL: John #10 and Robert #10 are 21.4 units apart - COLLISION RISK!
[16:36:34] ⚠️ CRITICAL: Chris #10 and Lisa #10 are 10.9 units apart - COLLISION RISK!
[16:36:34] Michael #10 moving 🚀 South (201 units)
[16:36:34] Robert #3 moving 🚀 North (656 units)
[16:36:34] Robert #8 moving 🚀 Northwest (699 units)
[16:36:34] Jane #10 moving 🚀 Southwest (319 units)
[16:36:35] Chris #6 moving 🚀 South (76 units)
[16:36:35] Robert #6 moving 🚀 Northeast (507 units)
[16:36:35] Amanda #2 moving 🚀 Southwest (360 units)
[16:36:35] ⚠️ Warning: John #1 and Jane #5 are 69.3 units apart
[16:36:35] ⚠️ CRITICAL: John #1 and Emily #5 are 42.5 units apart - COLLISION RISK!
[16:36:35] ⚠️ CRITICAL: John #1 and Michael #6 are 42.5 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: John #1 and David #6 are 82.9 units apart
[16:36:35] ⚠️ Warning: John #1 and Sarah #8 are 77.1 units apart
[16:36:35] ⚠️ CRITICAL: John #1 and John #10 are 25.9 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: John #1 and Robert #10 are 58.1 units apart
[16:36:35] ⚠️ CRITICAL: Jane #1 and Emily #1 are 18.7 units apart - COLLISION RISK!
[16:36:35] ⚠️ CRITICAL: Jane #1 and John #3 are 37.6 units apart - COLLISION RISK!
[16:36:35] ⚠️ CRITICAL: Jane #1 and Michael #3 are 13.1 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: Jane #1 and Chris #3 are 74.4 units apart
[16:36:35] ⚠️ CRITICAL: Michael #1 and Chris #8 are 34.9 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: Michael #1 and Lisa #8 are 86.8 units apart
[16:36:35] ⚠️ CRITICAL: Sarah #1 and Chris #1 are 31.0 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: Sarah #1 and Amanda #6 are 94.0 units apart
[16:36:35] ⚠️ Warning: Sarah #1 and Amanda #8 are 65.4 units apart
[16:36:35] ⚠️ Warning: David #1 and John #6 are 69.0 units apart
[16:36:35] ⚠️ Warning: David #1 and Lisa #6 are 64.9 units apart
[16:36:35] ⚠️ Warning: David #1 and Lisa #7 are 77.1 units apart
[16:36:35] ⚠️ Warning: David #1 and John #9 are 98.5 units apart
[16:36:35] ⚠️ Warning: David #1 and Chris #9 are 60.5 units apart
[16:36:35] ⚠️ CRITICAL: Emily #1 and John #3 are 45.4 units apart - COLLISION RISK!
[16:36:35] ⚠️ CRITICAL: Emily #1 and Michael #3 are 18.5 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: Emily #1 and Chris #3 are 85.0 units apart
[16:36:35] ⚠️ Warning: Chris #1 and John #5 are 87.5 units apart
[16:36:35] ⚠️ Warning: Chris #1 and Amanda #8 are 62.3 units apart
[16:36:35] ⚠️ Warning: Amanda #1 and Jane #6 are 67.7 units apart
[16:36:35] ⚠️ Warning: Amanda #1 and Sarah #6 are 85.9 units apart
[16:36:35] ⚠️ Warning: Amanda #1 and Michael #9 are 77.9 units apart
[16:36:35] ⚠️ Warning: Robert #1 and Emily #2 are 67.4 units apart
[16:36:35] ⚠️ CRITICAL: Robert #1 and Amanda #2 are 38.0 units apart - COLLISION RISK!
[16:36:35] ⚠️ Warning: Robert #1 and Lisa #2 are 97.8 units apart
[16:36:35] ⚠️ Warning: Robert #1 and Sarah #3 are 73.6 units apart
